dataset,noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
mnist,sym_20,gce,3,0.8466666666666667,0.0805921924610932,0.2453005909919738,0.7271425127983093
mnist,sym_20,mae,3,0.885,0.0658040769894918,0.1885712444782257,0.6077747344970703
mnist,sym_20,sce,3,0.8033333333333333,0.1155998497207959,0.3177118897438049,1.0390474796295166
mnist,sym_20,hellinger,3,0.815,0.0931242415805657,0.293820172548294,0.8698829412460327
mnist,sym_20,fisher_rao,3,0.7983333333333333,0.1032648070653279,0.308761328458786,0.92986661195755
mnist,sym_20,kl,4,0.8033333333333333,0.0877324684460957,0.3055786192417145,0.9209371209144592
mnist,sym_20,gce,4,0.8316666666666667,0.0950301908950011,0.2655697762966156,0.8369168043136597
mnist,sym_20,mae,4,0.8683333333333333,0.0703730529050032,0.1933359503746032,0.6233260035514832
mnist,sym_20,sce,4,0.7766666666666666,0.1315528305868307,0.3506994247436523,1.1142600774765017
mnist,sym_20,hellinger,4,0.8,0.0867501627902189,0.3029356896877289,0.9062272310256958
mnist,sym_20,fisher_rao,4,0.8133333333333334,0.0992844773332277,0.3063499927520752,0.9726824760437012
mnist,sym_40,kl,0,0.5966666666666667,0.218207323004802,0.6148530840873718,1.9292993545532229
mnist,sym_40,gce,0,0.595,0.2624893987178802,0.6518178582191467,2.2370307445526123
mnist,sym_40,mae,0,0.74,0.171534683505694,0.4284006655216217,1.5465837717056274
mnist,sym_40,sce,0,0.5583333333333333,0.3107073092460632,0.7276257276535034,2.7323787212371826
mnist,sym_40,hellinger,0,0.58,0.2616978052258491,0.6677754521369934,2.1420280933380127
mnist,sym_40,fisher_rao,0,0.5733333333333334,0.269858573252956,0.6829890012741089,2.312661647796631
mnist,sym_40,kl,1,0.6066666666666667,0.1973886638879776,0.5879663825035095,1.7529133558273315
mnist,sym_40,gce,1,0.6133333333333333,0.2483889248470465,0.6051388382911682,1.9635072946548464
mnist,sym_40,mae,1,0.7266666666666667,0.1778406272828578,0.4331192076206207,1.450258731842041
mnist,sym_40,sce,1,0.565,0.2754463185866673,0.6961009502410889,2.4241647720336914
mnist,sym_40,hellinger,1,0.5883333333333334,0.2286118079225222,0.6478331089019775,2.0237069129943848
mnist,sym_40,fisher_rao,1,0.6166666666666667,0.2122417620321114,0.5992797613143921,1.9470900297164917
mnist,sym_40,kl,2,0.645,0.1802165768543879,0.535000205039978,1.6341838836669922
mnist,sym_40,gce,2,0.6566666666666666,0.1988412400583426,0.5393721461296082,1.7576149702072144
mnist,sym_40,mae,2,0.8016666666666666,0.1191471740603447,0.3347720801830292,1.223287582397461
mnist,sym_40,sce,2,0.6016666666666667,0.2579840784271558,0.6440200805664062,2.2169246673583984
mnist,sym_40,hellinger,2,0.6033333333333334,0.2302828772366047,0.6063828468322754,1.8896571397781372
mnist,sym_40,fisher_rao,2,0.61,0.2380073177317778,0.6072293519973755,1.9687286615371704
mnist,sym_40,kl,3,0.6116666666666667,0.2007716691493987,0.6038551926612854,1.805859327316284
mnist,sym_40,gce,3,0.62,0.2429336534440517,0.6057573556900024,2.0671870708465576
mnist,sym_40,mae,3,0.7433333333333333,0.1653258394698302,0.4152697026729584,1.486339807510376
